task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	9d/79a6ea	7967333	SCATACPIPE:PREPROCESS_10XGENOMICS:DOWNLOAD_FROM_ENSEMBL (1)	CACHED	0	2022-06-15 01:38:03.807	11m 15s	10m 34s	1.4%	7.8 MB	53.5 MB	3.3 GB	841.7 MB
2	a4/b88ccd	7967332	SCATACPIPE:PREPROCESS_10XGENOMICS:DOWNLOAD_FROM_ENSEMBL_GTF (1)	CACHED	0	2022-06-15 01:38:03.512	1m 5s	38.2s	1.7%	6 MB	53.5 MB	144 MB	47.5 MB
1	64/47f8cb	7967334	SCATACPIPE:INPUT_CHECK_FASTQ:SAMPLESHEET_CHECK_FASTQ (10X_human_scatac_fastq_new_style.csv)	CACHED	0	2022-06-15 01:38:03.994	4.8s	215ms	46.4%	6.1 MB	40.1 MB	792 KB	4.4 KB
11	92/c3189d	7967337	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (8)	CACHED	0	2022-06-15 01:38:11.852	1m 12s	1m 6s	11.1%	3.5 MB	39 MB	8 GB	8 GB
10	ca/0a6b12	7967342	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (7)	CACHED	0	2022-06-15 01:38:14.460	34.4s	24.7s	5.0%	3.5 MB	39 MB	1.3 GB	1.3 GB
5	8e/f70ba0	7967335	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (2)	CACHED	0	2022-06-15 01:38:10.100	2m 19s	1m 51s	14.1%	3.5 MB	39 MB	14.2 GB	14.2 GB
8	d8/b489ae	7967336	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (5)	CACHED	0	2022-06-15 01:38:10.938	37.8s	30.7s	7.3%	3.5 MB	39 MB	2 GB	2 GB
4	27/054565	7967345	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (1)	CACHED	0	2022-06-15 01:38:15.491	2m 48s	2m 18s	16.6%	3.5 MB	39 MB	14.5 GB	14.5 GB
6	1a/68bafa	7967339	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (3)	CACHED	0	2022-06-15 01:38:13.075	1m 46s	1m 37s	13.3%	3.5 MB	39 MB	14.4 GB	14.4 GB
13	cd/1305ba	7967343	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (9)	CACHED	0	2022-06-15 01:38:14.785	1m 44s	1m 9s	12.4%	3.5 MB	39 MB	8 GB	8 GB
12	f6/55e6c3	7967346	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (12)	CACHED	0	2022-06-15 01:38:15.985	2m 48s	2m 17s	17.7%	3.5 MB	39 MB	14.6 GB	14.6 GB
9	8c/f97863	7967341	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (6)	CACHED	0	2022-06-15 01:38:14.092	34.7s	19.6s	8.5%	3.5 MB	39 MB	1.3 GB	1.3 GB
15	f8/57a400	7967354	SCATACPIPE:PREPROCESS_10XGENOMICS:PREP_GENOME (1)	CACHED	0	2022-06-15 01:49:25.525	6m 48s	6m 12s	104.1%	156.7 MB	230.5 MB	15.5 GB	12.6 GB
14	ca/22f6b8	7967344	SCATACPIPE:PREPROCESS_10XGENOMICS:MATCH_SAMPLE_NAME (10)	CACHED	0	2022-06-15 01:38:15.118	1m 14s	1m 5s	14.4%	3.5 MB	39 MB	8.5 GB	8.5 GB
