task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	9c/1f6a6f	8005686	SCATACPIPE:PREPROCESS_CHROMAP:DOWNLOAD_FROM_ENSEMBL (1)	CACHED	0	2022-06-15 18:28:48.861	11m 10s	10m 36s	1.5%	5.1 MB	53.5 MB	3.3 GB	841.7 MB
2	c9/3ebaf8	8005685	SCATACPIPE:PREPROCESS_CHROMAP:DOWNLOAD_FROM_ENSEMBL_GTF (1)	CACHED	0	2022-06-15 18:28:48.129	1m 5s	39.3s	1.7%	5.6 MB	53.5 MB	144.1 MB	47.5 MB
1	01/9a7818	5657802	SCATACPIPE:INPUT_CHECK_FASTQ:SAMPLESHEET_CHECK_FASTQ (10X_human_scatac_fastq_new_style.csv)	CACHED	0	2022-05-12 10:47:39.238	34s	335ms	55.3%	6.9 MB	40.4 MB	799.3 KB	4.4 KB
4	72/c9e6d4	8005749	SCATACPIPE:PREPROCESS_CHROMAP:PREP_GENOME (1)	CACHED	0	2022-06-15 18:39:58.812	7m 45s	7m 13s	103.2%	242.2 MB	279.8 MB	15.5 GB	12.6 GB
10	41/4a98c7	5657814	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (8)	CACHED	0	2022-05-12 10:48:18.471	1m 15s	55.7s	4.4%	3.5 MB	39 MB	1.3 GB	1.3 GB
9	55/1c051c	5657807	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (1)	CACHED	0	2022-05-12 10:48:15.692	1m 8s	58s	15.7%	3.5 MB	39 MB	8.6 GB	8.6 GB
15	64/9bbbb4	5657810	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (3)	CACHED	0	2022-05-12 10:48:17.039	2m 16s	2m 9s	21.7%	3.5 MB	39 MB	14.5 GB	14.5 GB
14	f1/d6123a	5657815	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (12)	CACHED	0	2022-05-12 10:48:18.825	4m 54s	4m 39s	9.0%	3.5 MB	39 MB	14.2 GB	14.2 GB
11	65/81e011	5657813	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (9)	CACHED	0	2022-05-12 10:48:18.080	1m 5s	32.4s	20.4%	3.5 MB	39 MB	2 GB	2 GB
13	02/0bb767	5657817	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (11)	CACHED	0	2022-05-12 10:48:19.451	4m 54s	4m 41s	14.6%	3.5 MB	39 MB	14.4 GB	14.4 GB
12	cf/0c642a	5657809	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (10)	CACHED	0	2022-05-12 10:48:16.680	1m 12s	44.3s	11.0%	3.5 MB	39 MB	2 GB	2 GB
8	0a/e97f03	5657811	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (4)	CACHED	0	2022-05-12 10:48:17.430	1m 46s	1m 23s	21.6%	3.5 MB	39 MB	8.5 GB	8.5 GB
6	cd/edf7fb	5657812	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (6)	CACHED	0	2022-05-12 10:48:17.756	1m 46s	1m 21s	21.7%	3.5 MB	39 MB	8 GB	8 GB
5	24/44ced5	5657808	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (7)	CACHED	0	2022-05-12 10:48:16.235	27.2s	23.3s	15.0%	3.5 MB	39 MB	1.3 GB	1.3 GB
16	c8/084005	5657806	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (2)	CACHED	0	2022-05-12 10:48:14.718	1m 44s	1m 20s	16.8%	3.5 MB	39 MB	14.6 GB	14.6 GB
7	88/a0cd98	5657816	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (5)	CACHED	0	2022-05-12 10:48:19.192	3m 39s	3m 3s	8.4%	3.5 MB	39 MB	8 GB	8 GB
17	53/b0b5fe	8006219	SCATACPIPE:DOWNSTREAM_ARCHR:BUILD_BSGENOME (1)	CACHED	0	2022-06-15 22:26:26.768	2h 39m 46s	2h 39m 9s	99.7%	6.6 GB	7.7 GB	14.6 GB	10.5 GB
25	a0/99a7ca	5657834	SCATACPIPE:PREPROCESS_CHROMAP:MERGE_SAMPLE (5)	CACHED	0	2022-05-12 10:53:14.528	4m 24s	3m 56s	19.0%	4.3 MB	28.1 MB	15.9 GB	15.9 GB
24	0e/5d40a8	5657832	SCATACPIPE:PREPROCESS_CHROMAP:MERGE_SAMPLE (3)	CACHED	0	2022-05-12 10:53:13.856	34.4s	9.8s	45.9%	4.3 MB	28.1 MB	4 GB	4 GB
23	37/b72cf3	5657837	SCATACPIPE:PREPROCESS_CHROMAP:MERGE_SAMPLE (6)	CACHED	0	2022-05-12 10:53:15.073	3m 53s	3m 48s	33.5%	4.3 MB	28.1 MB	28.6 GB	28.6 GB
21	89/eed74f	5657835	SCATACPIPE:PREPROCESS_CHROMAP:MERGE_SAMPLE (2)	CACHED	0	2022-05-12 10:53:14.702	4m 24s	3m 52s	14.3%	4.3 MB	28.1 MB	17.1 GB	17.1 GB
22	63/f726d4	5657833	SCATACPIPE:PREPROCESS_CHROMAP:MERGE_SAMPLE (4)	CACHED	0	2022-05-12 10:53:14.304	4m 24s	4m 9s	28.1%	4.3 MB	28.1 MB	29.1 GB	29.1 GB
20	ad/78bc0b	5657836	SCATACPIPE:PREPROCESS_CHROMAP:MERGE_SAMPLE (1)	CACHED	0	2022-05-12 10:53:14.889	33.6s	15.8s	32.1%	4.3 MB	28.1 MB	2.5 GB	2.5 GB
18	82/360d73	8005757	SCATACPIPE:PREPROCESS_CHROMAP:PREP_GTF (1)	CACHED	0	2022-06-15 18:47:44.173	3m	2m 34s	92.8%	809.9 MB	1.5 GB	4.5 GB	3.5 GB
31	8a/8dcd49	5657840	SCATACPIPE:PREPROCESS_CHROMAP:GET_WHITELIST_CHROMAP (2)	CACHED	0	2022-05-12 10:53:52.578	30.7s	1.9s	95.8%	125.5 MB	159.1 MB	10.2 MB	4.4 MB
28	eb/99065a	5657845	SCATACPIPE:PREPROCESS_CHROMAP:GET_WHITELIST_CHROMAP (3)	CACHED	0	2022-05-12 10:57:08.543	4.7s	2s	95.8%	125.4 MB	159.1 MB	10.3 MB	4.4 MB
27	9d/163667	5657839	SCATACPIPE:PREPROCESS_CHROMAP:GET_WHITELIST_CHROMAP (1)	CACHED	0	2022-05-12 10:53:52.427	30.8s	1.2s	85.9%	147.2 MB	180.9 MB	10.2 MB	4.4 MB
30	f1/cc3eb4	5657847	SCATACPIPE:PREPROCESS_CHROMAP:GET_WHITELIST_CHROMAP (4)	CACHED	0	2022-05-12 10:57:38.682	34.6s	2.3s	96.8%	125.5 MB	159.1 MB	10.3 MB	4.4 MB
29	4e/79daa0	5657849	SCATACPIPE:PREPROCESS_CHROMAP:GET_WHITELIST_CHROMAP (6)	CACHED	0	2022-05-12 10:57:39.030	34.3s	1.8s	99.3%	125.5 MB	159.1 MB	10.3 MB	4.4 MB
32	f0/24b051	5657848	SCATACPIPE:PREPROCESS_CHROMAP:GET_WHITELIST_CHROMAP (5)	CACHED	0	2022-05-12 10:57:38.846	34.5s	2.3s	96.9%	76.5 MB	110.1 MB	10.2 MB	4.4 MB
26	a1/ce1a2c	8006413	SCATACPIPE:DOWNSTREAM_ARCHR:BUILD_TXDB (1)	CACHED	0	2022-06-16 01:06:12.937	5m 15s	4m 43s	109.0%	2.6 GB	3 GB	1.1 GB	1.3 GB
33	7d/5f687f	8006414	SCATACPIPE:DOWNSTREAM_ARCHR:BUILD_GENE_ANNOTATION (1)	CACHED	0	2022-06-16 01:11:28.479	4m 9s	3m 20s	99.8%	2.4 GB	2.8 GB	163.6 MB	6 MB
19	76/58e0cd	8005758	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_INDEX (1)	CACHED	0	2022-06-15 18:47:44.276	4m 49s	4m 37s	91.1%	25.4 GB	31 GB	840.5 MB	11.5 GB
35	62/d1d79e	8005786	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_ATAC (1)	CACHED	0	2022-06-15 18:52:34.764	4m 54s	4m 41s	272.8%	19.6 GB	42.1 GB	17.2 GB	2.2 GB
34	ea/90fe42	8006416	SCATACPIPE:DOWNSTREAM_ARCHR:BUILD_GENOME_ANNOTATION (1)	CACHED	0	2022-06-16 01:15:37.959	34.6s	27.5s	99.3%	623.2 MB	1021.2 MB	49.6 MB	8.6 KB
