task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	fb/4e98cf	8006258	SCATACPIPE:INPUT_CHECK_FASTQ:SAMPLESHEET_CHECK_FASTQ (10X_human_scatac_fastq_new_style.csv)	CACHED	0	2022-06-15 22:44:10.346	4.7s	231ms	44.4%	6 MB	39.8 MB	794.7 KB	4.4 KB
2	ea/90e87a	8006256	SCATACPIPE:DOWNSTREAM_ARCHR:DOWNLOAD_FROM_ENSEMBL_GTF (1)	CACHED	0	2022-06-15 22:44:09.328	1m 6s	38s	1.7%	6.9 MB	53.5 MB	144 MB	47.5 MB
3	c5/dc33a8	8006257	SCATACPIPE:PREPROCESS_DEFAULT:DOWNLOAD_FROM_ENSEMBL (1)	CACHED	0	2022-06-15 22:44:09.828	11m 10s	10m 30s	1.3%	7 MB	53.5 MB	3.3 GB	841.7 MB
4	68/9dc459	8006288	SCATACPIPE:PREPROCESS_DEFAULT:PREP_GENOME (1)	CACHED	0	2022-06-15 22:55:26.796	6m 53s	6m 11s	103.9%	43.6 MB	170.2 MB	15.5 GB	12.6 GB
23	35/fd3ceb	8006274	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (9)	CACHED	0	2022-06-15 22:44:34.416	2h 6m 6s	2h 3m 9s	924.8%	140.4 MB	666.6 MB	153 GB	54.1 GB
11	4b/bf04f2	8006263	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (7)	CACHED	0	2022-06-15 22:44:32.074	1m 18s	1m 4s	245.3%	559.9 MB	3.4 GB	1.3 GB	3.1 MB
15	93/fe0205	8006266	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (11)	CACHED	0	2022-06-15 22:44:32.526	6m 53s	6m 33s	243.4%	684.6 MB	3.4 GB	8.5 GB	3.5 MB
9	78/138959	8006262	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (5)	CACHED	0	2022-06-15 22:44:31.923	1m 48s	1m 37s	241.9%	563 MB	3.4 GB	2 GB	3 MB
8	13/981ead	8006270	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (4)	CACHED	0	2022-06-15 22:44:33.257	11m 57s	11m 49s	245.1%	817.4 MB	3.4 GB	14.4 GB	3.5 MB
6	e2/5879a3	8006268	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (2)	CACHED	0	2022-06-15 22:44:32.857	10m 52s	10m 22s	246.3%	742 MB	3.4 GB	14.6 GB	3 MB
25	42/9fd4c9	8006280	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (7)	CACHED	0	2022-06-15 22:44:35.484	17m	16m 44s	906.8%	137.8 MB	655.3 MB	24.1 GB	8.4 GB
28	07/195be3	8006275	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (3)	CACHED	0	2022-06-15 22:44:34.555	4h 15m 21s	4h 12m 33s	743.0%	140.4 MB	667.7 MB	270.9 GB	94.3 GB
10	19/beef06	8006259	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (6)	CACHED	0	2022-06-15 22:44:31.045	1m 49s	1m 26s	246.5%	550.1 MB	3.4 GB	2 GB	3 MB
12	c0/862c83	8006269	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (8)	CACHED	0	2022-06-15 22:44:33.065	1m 17s	1m 9s	241.3%	548.1 MB	3.4 GB	1.3 GB	3.1 MB
26	d9/d2bf94	8006271	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (6)	CACHED	0	2022-06-15 22:44:33.526	31m 42s	31m 2s	875.7%	137.7 MB	655.2 MB	37.7 GB	13.1 GB
16	7f/e6cdfe	8006264	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (12)	CACHED	0	2022-06-15 22:44:32.254	5m 53s	5m 49s	247.3%	685.1 MB	3.4 GB	8.7 GB	3.5 MB
7	09/52c911	8006260	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (3)	CACHED	0	2022-06-15 22:44:31.444	11m 44s	11m 6s	245.5%	816.3 MB	3.4 GB	14.3 GB	3.5 MB
13	6c/41b2aa	8006261	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (9)	CACHED	0	2022-06-15 22:44:31.747	6m 53s	6m 20s	243.5%	576.5 MB	3.4 GB	8 GB	3 MB
14	d9/5e6fbb	8006265	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (10)	CACHED	0	2022-06-15 22:44:32.395	5m 48s	5m 40s	245.6%	591.5 MB	3.4 GB	8 GB	3 MB
22	8d/81b7eb	8006281	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (10)	CACHED	0	2022-06-15 22:44:35.620	2h 53m 15s	2h 52m 56s	780.4%	140.4 MB	666.6 MB	152.7 GB	54 GB
21	73/650733	8006277	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (11)	CACHED	0	2022-06-15 22:44:34.876	1h 54m 40s	1h 54m 27s	913.0%	140.2 MB	667.6 MB	161 GB	55.7 GB
24	c0/164176	8006272	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (8)	CACHED	0	2022-06-15 22:44:33.990	30m 41s	29m 49s	470.1%	137.7 MB	655.4 MB	24.1 GB	8.4 GB
20	df/808177	8006276	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (12)	CACHED	0	2022-06-15 22:44:34.687	2h 45m 11s	2h 42m 7s	686.4%	140.1 MB	667.5 MB	163.9 GB	56.9 GB
18	88/45018d	8006282	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (2)	CACHED	0	2022-06-15 22:44:35.763	3h 46m	3h 45m 50s	872.2%	140.3 MB	666.6 MB	280 GB	99.7 GB
27	99/582aab	8006279	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (5)	CACHED	0	2022-06-15 22:44:35.313	28m	27m 25s	865.6%	137.7 MB	655.3 MB	37.8 GB	13.2 GB
19	42/b1ae0d	8006278	SCATACPIPE:PREPROCESS_DEFAULT:ADD_BARCODE_TO_READS (4)	CACHED	0	2022-06-15 22:44:35.004	7h 15m 36s	7h 15m 30s	388.9%	140.5 MB	667.7 MB	274 GB	95.6 GB
30	58/5cf540	8006298	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_GTF (1)	CACHED	0	2022-06-15 23:02:20.537	2m 30s	2m 25s	94.5%	809.8 MB	1.5 GB	4.5 GB	3.5 GB
29	a3/710011	8006299	SCATACPIPE:PREPROCESS_DEFAULT:BWA_INDEX (1)	CACHED	0	2022-06-15 23:02:20.714	47m 25s	46m 58s	99.5%	4.3 GB	4.4 GB	8.7 GB	7.9 GB
5	3a/5fae8e	8006267	SCATACPIPE:PREPROCESS_DEFAULT:FASTQC (1)	CACHED	0	2022-06-15 22:44:32.672	11m 52s	11m 32s	244.2%	714.8 MB	3.4 GB	14.6 GB	3 MB
